target_id	length	eff_length	est_counts	tpm
cgd1_3110-RA	2538	2264	0	0
cgd1_3120-RA	2249	1975	0	0
cgd1_3130-RA	2079	1805	0	0
cgd1_3140-RA	618	344	0	0
cgd1_3150-RA	984	710	0	0
cgd1_3160-RA	4359	4085	4.72579	15.2238
cgd1_3170-RA	4860	4586	39.0365	112.016
cgd1_3180-RA	1371	1097	0	0
cgd1_3190-RA	2390	2116	0	0
cgd1_320-RA	1773	1499	0	0
cgd1_3200-RA	864	590	0	0
cgd1_3210-RA	3123	2849	1	4.61901
cgd1_3220-RA	2022	1748	0	0
cgd1_3230-RA	2640	2366	0	0
cgd1_3240-RA	9555	9281	0	0
cgd1_3250-RA	726	452	0	0
cgd1_3260-RA	1038	764	0	0
cgd1_3270-RA	2323	2049	1	6.42243
cgd1_3280-RA	939	665	0	0
cgd1_3290-RA	2407	2133	0	0
cgd1_330-RA	2648	2374	2	11.0864
cgd1_3300-RA	891	617	0	0
cgd1_3310-RA	684	410	0	0
cgd1_3320-RA	855	581	0	0
cgd1_3330-RA	631	357	0	0
cgd1_3340-RA	1484	1210	1	10.8757
cgd1_3343-RA	494	220	0	0
cgd1_3350-RA	519	245	0	0
cgd1_3360-RA	1932	1658	0	0
cgd1_3370-RA	636	362	0	0
cgd1_3380-RA	889	615	0	0
cgd1_3390-RA	1884	1610	0	0
cgd1_340-RA	1483	1209	2	21.7693
cgd1_3400-RA	1240	966	0	0
cgd1_3410-RA	273	23.9008	0	0
cgd1_3420-RA	2205	1931	0	0
cgd1_3430-RA	428	154	0	0
cgd1_3440-RA	1470	1196	0	0
cgd1_3450-RA	2022	1748	39	293.606
cgd1_3460-RA	960	686	0	0
cgd1_3470-RA	588	314	0	0
cgd1_3480-RA	1838	1564	11	92.5545
cgd1_3490-RA	457	183	0	0
cgd1_350-RA	2343	2069	0	0
cgd1_3500-RA	2495	2221	1	5.92506
cgd1_3510-RA	1761	1487	0	0
cgd1_3520-RA	1671	1397	1	9.41987
cgd1_3530-RA	2680	2406	1	5.46948
cgd1_3540-RA	5820	5546	1	2.3728
cgd1_3543-RA	497	223	0	0
cgd1_3550-RA	2778	2504	0	0
cgd1_3560-RA	381	107.022	0	0
cgd1_3570-RA	1260	986	0	0
cgd1_3580-RA	429	155	0	0
cgd1_3583-RA	821	547	0	0
cgd1_3590-RA	1338	1064	0	0
cgd1_360-RA	2511	2237	0	0
cgd1_3600-RA	2254	1980	0	0
cgd1_3610-RA	2808	2534	3	15.5796
cgd1_3620-RA	1107	833	0	0
cgd1_3630-RA	2238	1964	0	0
cgd1_3640-RA	1569	1295	0	0
cgd1_3650-RA	1059	785	0	0
cgd1_3660-RA	618	344	0	0
cgd1_3670-RA	6618	6344	0	0
cgd1_3680-RA	1613	1339	141	1385.73
cgd1_3690-RA	3078	2804	0	0
cgd1_370-RA	2244	1970	0	0
cgd1_3700-RA	1362	1088	0	0
cgd1_3710-RA	2088	1814	0	0
cgd1_3720-RA	1263	989	0	0
cgd1_3730-RA	2091	1817	0	0
cgd1_3740-RA	4224	3950	0	0
cgd1_3750-RA	861	587	0	0
cgd1_3760-RA	3480	3206	0	0
cgd1_3770-RA	531	257	0	0
cgd1_3780-RA	2445	2171	0	0
cgd1_3790-RA	3819	3545	0	0
cgd1_380-RA	1360	1086	0	0
cgd1_3800-RA	573	299	0	0
cgd1_3810-RA	2739	2465	14	74.7399
cgd1_3820-RA	2988	2714	0	0
cgd1_3830-RA	604	330	0	0
cgd1_3840-RA	3224	2950	0	0
cgd1_3850-RA	2775	2501	0	0
cgd1_3860-RA	1292	1018	0	0
cgd1_390-RA	997	723	0	0
cgd1_40-RA	1152	878	0	0
cgd1_400-RA	2187	1913	0	0
cgd1_410-RA	527	253	0	0
cgd1_420-RA	628	354	0	0
cgd1_430-RA	617	343	2	76.7322
cgd1_440-RA	692	418	0	0
cgd1_450-RA	2006	1732	0	0
cgd1_460-RA	2015	1741	0	0
cgd1_470-RA	2799	2525	1	5.21171
cgd1_480-RA	498	224	0	0
cgd1_490-RA	393	119.005	0	0
cgd1_493-RA	456	182	0	0
cgd1_5-RA	698	424	4458.59	138380
cgd1_50-RA	3140	2866	0	0
cgd1_500-RA	1477	1203	0	0
cgd1_510-RA	1906	1632	0	0
cgd1_520-RA	1422	1148	4	45.8521
cgd1_530-RA	530	256	3	154.214
cgd1_540-RA	711	437	3	90.3403
cgd1_543-RA	495	221	0	0
cgd1_550-RA	8988	8714	0	0
cgd1_560-RA	1357	1083	0	0
cgd1_570-RA	705	431	0	0
cgd1_580-RA	2787	2513	1	5.2366
cgd1_590-RA	7584	7310	1	1.80021
cgd1_60-RA	903	629	0	0
cgd1_600-RA	1555	1281	0	0
cgd1_610-RA	708	434	0	0
cgd1_620-RA	1317	1043	0	0
cgd1_630-RA	930	656	0	0
cgd1_640-RA	4369	4095	7	22.495
cgd1_645-RA	81	4.96844	0	0
cgd1_650-RA	3822	3548	1	3.70901
cgd1_660-RA	1017	743	0	0
cgd1_670-RA	3531	3257	0	0
cgd1_680-RA	1549	1275	0	0
cgd1_690-RA	1252	978	0	0
cgd1_70-RA	357	83.2735	0	0
cgd1_700-RA	4296	4022	0	0
cgd1_710-RA	3581	3307	0	0
cgd1_720-RA	636	362	0	0
