geneSymbol	male_CryptoDB_46_rep_1	male_CryptoDB_46_rep_2	male_CryptoDB_46_rep_3	male_CryptoDB_46_rep_4	female_in_vitro_CryptoDB_46_rep_1	female_in_vitro_CryptoDB_46_rep_2	female_in_vitro_CryptoDB_46_rep_3	female_in_vitro_CryptoDB_46_rep_4	female_in_vivo_CryptoDB_46_rep_1	female_in_vivo_CryptoDB_46_rep_2	female_in_vivo_CryptoDB_46_rep_3	female_in_vivo_CryptoDB_46_rep_4	asexual_CryptoDB_46_rep_1	asexual_CryptoDB_46_rep_2	asexual_CryptoDB_46_rep_3	asexual_CryptoDB_46_rep_4
cgd2_2320-RA	5.145194811869245	3.532657384810879	4.107926440041062	6.086412594455236	4.676473802973122	3.397910449340176	3.2121103659742976	0.13242993892958843	4.88841999234607	3.44048288417423	2.576278190422979	0.13242993892958843	4.126229790312557	0.13242993892958585	3.7630653198969126	4.902809337701482
cgd2_2340-RA	7.045064306667512	6.377345295885954	7.260034127758303	7.214086413391135	8.686452978523949	8.140110941094065	8.123820345562757	7.704459910067109	7.818896601527166	8.57226190120435	8.888879823440696	6.852249116771493	3.44856814179193	5.666125598832359	3.9862088411685703	3.8141767329731295
cgd2_2350-RA	6.699250675046396	7.292234054909681	6.411257884819752	6.618746622364947	7.26395203407885	7.807182411860448	6.69181546611715	6.7330699648872985	7.577769239501769	7.708277572150867	7.523517022945782	7.248713296148193	6.812454771092744	5.5208458090140216	5.957233216433716	6.241947120538537
cgd2_2360-RA	5.579395434285718	5.27543647987547	5.184329320904947	4.769964252990922	5.171181171677006	5.444959142108594	4.123006695723843	3.991133116644193	4.935175642638902	5.109845161815291	5.041386998352207	4.582709953331398	5.27455377938873	4.140820213735396	4.763926611009873	5.155813735402014
cgd2_2380-RA	3.5792538308181783	3.8263495565812957	4.910978835299287	4.028956172727256	2.720609254271368	0.13242993892958585	1.9818249006116169	3.1472114382228304	4.242020662513226	4.1616606449999924	4.342869091708554	4.397739647160857	2.99199215469016	5.161710013691496	2.221131089953602	4.017409804616171
cgd2_2390-RA	5.6126311555644435	5.456766604769005	6.3086383745973365	4.6542977380392445	3.793003300906374	5.049386368844137	3.2659271539275543	3.1415556471169874	2.534504062643569	2.8392124860157373	3.190317293049511	0.13242993892958843	2.636416232589304	3.656608216846427	3.229695301797692	3.3383612700338015
cgd2_240-RA	4.009581012395252	3.782889900940286	4.411242137737112	4.524498686954993	4.9450596368212665	5.365255908101708	5.475292981024965	4.073334565173007	5.870179007932891	5.914830497430073	6.248191821382511	5.512790862929457	3.9071119635398763	4.926307962167996	1.8099004529258302	3.7376076401495264
cgd2_2400-RA	5.594334891811804	6.104642004883736	6.326123204901566	5.200010103842425	4.576937267219126	4.48460412063015	4.82703637259129	5.512117012202483	5.34704667348175	6.18604007731458	6.224688906469304	5.149368155028369	3.2164889342970273	4.5370684998112285	6.138304585457913	5.6491072009484995
cgd2_2420-RA	3.3536454974628445	4.295055914171939	3.9300919486177763	3.85441652602554	4.373435892051871	4.167365546495048	3.2383322376347397	4.019955953079751	3.433136151956632	4.647064911622547	4.849641056139358	0.13242993892958843	3.85419577713308	3.628163036059863	3.664274004699729	2.0136410518931367
cgd2_2430-RA	3.5760295114181253	3.6127288502301282	1.3885339454282932	3.918236057923349	4.639995529396109	2.596709778176659	1.9828649148024766	0.13242993892958843	4.532239229006397	4.3642259939159445	4.317612934005075	6.110737769826033	3.8903485654126544	3.6638190983975676	4.150249687719806	4.265433669421341
