geneSymbol	WT_30hrs_vehicle_rep_1	WT_30hrs_vehicle_rep_2	WT_30hrs_vehicle_rep_3	WT_30hrs_Shield_rep_1	WT_30hrs_Shield_rep_2	WT_30hrs_Shield_rep_3	MybM_OE_30hrs_vehicle_rep_1	MybM_OE_30hrs_vehicle_rep_2	MybM_OE_30hrs_vehicle_rep_3	MybM_OE_30hrs_Shield_rep_1	MybM_OE_30hrs_Shield_rep_2	MybM_OE_30hrs_Shield_rep_3
cgd1_2710-RA	3.832455755507526	4.439606720890312	3.832455755507523	3.832455755507526	3.832455755507523	3.832455755507526	4.407580201128971	3.832455755507523	3.832455755507523	4.408114233712773	3.832455755507523	3.832455755507526
cgd1_2730-RA	4.453030804483815	3.832455755507526	4.4365802409010335	4.833380623280831	5.217312215528215	3.832455755507526	5.979320058329984	5.469993819964452	4.9591512117761	5.81143668666761	5.508744196890831	5.6705337297005025
cgd1_2740-RA	3.832455755507526	5.194080611706006	3.832455755507523	3.832455755507526	4.8850848317771645	3.832455755507526	4.407580201128971	4.715715055934027	4.312231313413673	3.832455755507523	3.832455755507523	3.832455755507526
cgd1_2760-RA	3.832455755507526	4.865611779994291	3.832455755507523	3.832455755507526	4.8850848317771645	4.499995579565438	3.832455755507526	4.340649973106039	3.832455755507523	3.832455755507523	3.832455755507523	3.832455755507526
cgd1_2770-RA	3.832455755507526	4.439606720890312	4.8611041283824115	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507526	4.340649973106039	3.832455755507523	3.832455755507523	4.463803748905587	3.832455755507526
cgd1_280-RA	3.832455755507526	4.439606720890312	5.45549104716976	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507526	4.715715055934027	4.312231313413673	4.408114233712773	3.832455755507523	4.431837137305568
cgd1_2830-RA	4.453030804483815	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507526	3.832455755507523	4.312231313413673	3.832455755507523	3.832455755507523	4.431837137305568
cgd1_2880-RA	6.084149172840497	6.588567294636221	6.046702463290248	6.418959373290281	6.237692806059864	5.811314140458452	6.893728996235645	6.217248457054955	6.018557015807628	6.509159369473975	5.934801428930411	6.035803346663718
cgd1_2890-RA	3.832455755507526	4.439606720890312	3.832455755507523	3.832455755507526	4.45271675604056	3.832455755507526	3.832455755507526	3.832455755507523	4.671652206978158	3.832455755507523	3.832455755507523	3.832455755507526
cgd1_290-RA	3.832455755507526	5.194080611706006	3.832455755507523	4.418034900617806	4.8850848317771645	3.832455755507526	3.832455755507526	3.832455755507523	3.832455755507523	4.818477123749131	3.832455755507523	4.854030394174543
cgd1_2960-RA	3.832455755507526	4.439606720890312	3.832455755507523	3.832455755507526	3.832455755507523	5.299780232858493	5.1366267606651155	4.715715055934027	4.312231313413673	4.408114233712773	5.508744196890831	3.832455755507526
cgd1_2980-RA	3.832455755507526	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507526	3.832455755507523	3.832455755507523	4.408114233712773	5.508744196890831	5.180234968943517
